Sale_ID,Store_ID,Product_ID,Customer_ID,Staff_ID,Quantity,Unit_Price,Sale_Date,Sales_Channel,Customer_Name,Age,Gender,City,Purchase_Channel,Total_Purchases,Product_Name,Category,Color,Description,Size,Price,Acquisition_Cost,Recency,Frequency,Monetary,YearMonth
51,3,693,94,82,26,892.28,2016-04-06 03:53:07,Física,Jaime Magalhães,67,M,Setúbal,Online,523.62,Reiciendis,Calçado,Preto,Reprehenderit ad aspernatur aperiam.,44,70.04,40.25,60,20,472889.11,2016-04
52,4,737,938,117,7,286.11,2023-09-03 22:57:08,Online,Isabel Sá,41,M,Lagos,Online,518.94,Repellendus,Roupas,Laranja,Consectetur saepe quos illum quaerat placeat.,XS,77.92,33.19,31,24,418035.06,2023-09
53,2,885,54,73,76,604.14,2021-01-05 21:05:02,Física,Raquel Reis,41,M,Angra do Heroísmo,Física,911.33,Voluptatum,Roupas,Rosa,Sint itaque dolorem ducimus atque tempore.,S,70.49,42.29,272,14,474592.95,2021-01
54,2,30,658,42,38,872.8,2014-12-16 19:31:19,Online,Sara Lourenço,27,F,Carregal do Sal,Física,402.98,Quasi,Roupas,Laranja,Laudantium error non.,XS,29.07,15.68,83,23,445554.72,2014-12
55,5,731,676,61,57,989.81,2017-04-20 18:47:08,Online,Wilson Rocha,43,M,Moura,Online,787.17,Modi,Roupas,Preto,Veritatis omnis ad officia nobis omnis.,L,29.17,13.06,264,29,852439.0599999999,2017-04
56,3,369,134,216,95,601.69,2018-03-23 18:46:15,Online,Amélia Lopes,24,M,Loures,Online,934.21,Mollitia,Roupas,Vermelho,Eum iusto ut tenetur dolores.,S,69.36,35.98,177,23,665248.1900000001,2018-03
57,3,116,295,488,4,523.56,2016-07-01 23:24:09,Online,Bianca Sousa-Pinheiro,23,M,Aveiro,Física,623.97,Enim,Calçado,Cinzento,Eligendi sapiente ipsa.,36,62.54,32.09,337,24,610818.98,2016-07
58,5,476,861,450,57,950.98,2016-02-13 07:57:44,Física,Valentina da Correia,24,F,Silves,Física,407.67,Eligendi,Calçado,Cinzento,Voluptate amet quisquam iusto consectetur debitis neque ratione.,37,64.24,34.55,173,23,574652.09,2016-02
59,1,881,625,307,27,633.13,2017-02-07 05:38:29,Física,Sofia do Paiva,52,F,Santa Cruz das Flores,Física,963.4,Iusto,Calçado,Vermelho,Assumenda quasi voluptas mollitia corrupti.,44,36.32,30.86,104,22,591621.02,2017-02
60,1,952,52,160,21,918.83,2015-03-10 04:07:24,Online,Petra Machado,31,M,Amares,Online,651.57,Id,Roupas,Vermelho,Distinctio exercitationem corrupti impedit odit voluptatem dicta.,XL,55.14,24.73,125,26,751317.97,2015-03
61,3,122,224,247,100,671.84,2015-09-11 04:47:42,Online,Carminho Nunes,56,M,Esposende,Online,137.86,Consequuntur,Calçado,Roxo,Explicabo dignissimos veritatis.,36,78.92,47.92,6,26,463602.16000000003,2015-09
62,5,601,470,386,57,787.39,2018-03-22 23:29:11,Online,Victória Sá,45,F,Santa Cruz da Graciosa,Física,641.75,Porro,Calçado,Branco,Corporis quos quas id provident.,40,89.42,18.46,129,21,600596.3200000001,2018-03
63,5,969,611,400,91,388.38,2014-10-10 18:30:33,Física,Sebastião Paiva,28,F,Vendas Novas,Física,301.53,Dolores,Calçado,Branco,Cupiditate eligendi ratione iste ab.,35,51.59,26.55,55,18,404117.81,2014-10
64,2,120,220,174,90,914.78,2021-09-08 22:29:32,Física,Vicente Valente,57,F,Barrancos,Física,171.46,At,Roupas,Preto,Libero molestiae qui in a magnam nulla id.,M,33.73,18.95,348,19,446644.32,2021-09
65,1,208,203,45,67,855.13,2024-02-25 08:16:31,Física,Luísa de Lima,49,M,Funchal,Física,855.26,Unde,Roupas,Azul,Exercitationem quibusdam in ab.,XS,61.2,49.77,70,14,379878.52,2024-02
66,5,25,356,177,10,566.14,2014-09-30 20:19:44,Física,Ana Esteves-Domingues,49,M,Covilhã,Online,749.64,Sequi,Calçado,Preto,Maiores est nemo temporibus architecto laudantium tempore doloremque.,41,85.79,45.85,719,20,549634.51,2014-09
67,2,174,284,54,50,263.75,2017-11-14 02:33:44,Online,Letícia Assunção,30,M,Redondo,Física,189.17,Ex,Roupas,Vermelho,Exercitationem corrupti veniam ea necessitatibus.,XXL,36.48,37.61,36,24,657168.44,2017-11
68,5,325,502,499,37,785.28,2023-04-11 13:14:39,Online,Beatriz Soares,60,M,Barrancos,Física,775.15,Velit,Calçado,Vermelho,Voluptatibus quibusdam dolor quis vel.,36,65.42,14.32,215,22,542937.82,2023-04
69,4,245,98,53,68,699.46,2018-10-20 04:18:12,Física,Renata Moura,19,F,Penamacor,Online,318.71,Quasi,Calçado,Laranja,Commodi velit ab.,44,59.65,24.14,240,23,615187.47,2018-10
70,1,986,131,493,22,720.75,2019-08-12 13:38:05,Física,Nádia Branco,44,F,Vidigueira,Online,793.69,Atque,Calçado,Rosa,Iure reiciendis possimus voluptate voluptate suscipit.,44,55.6,25.42,65,23,570715.28,2019-08
71,1,52,754,449,44,390.78,2017-05-11 13:05:05,Física,Paulo Vaz,70,F,Albufeira,Física,100.19,Voluptate,Roupas,Vermelho,Non accusamus sit eius quo aperiam.,XS,80.09,24.4,221,18,522216.79,2017-05
72,4,961,898,402,83,990.22,2024-11-29 22:02:47,Online,Gil Jesus,54,M,Silves,Online,559.11,Quasi,Roupas,Laranja,Labore ab cupiditate dolore.,L,76.92,25.84,32,18,514037.94,2024-11
73,1,214,59,124,3,278.77,2018-07-04 08:46:56,Online,Jorge Martins,44,M,Vale de Cambra,Física,261.43,Dolor,Calçado,Amarelo,Harum recusandae perspiciatis quisquam veniam.,35,70.0,10.9,72,17,308911.66,2018-07
74,4,264,707,427,76,225.11,2020-11-09 14:07:06,Física,Alícia-Daniela Pinto,44,M,Praia da Vitória,Física,123.28,Tenetur,Calçado,Azul,Reprehenderit cum rerum nihil ea odio quis.,43,23.52,24.5,610,19,400146.1,2020-11
75,3,875,609,68,78,258.77,2016-12-27 23:55:02,Física,Mário Reis,44,F,Sintra,Física,947.9,Nam,Roupas,Vermelho,Id quo perferendis.,XL,64.5,26.64,192,20,429904.42,2016-12
76,2,974,862,317,67,231.97,2018-10-22 20:43:26,Online,Luca Mendes,44,M,Lajes das Flores,Online,442.06,Consectetur,Calçado,Vermelho,Officia excepturi debitis.,41,38.93,45.14,427,22,498292.62,2018-10
77,4,847,810,133,20,710.04,2020-10-09 17:31:01,Online,Adriana Cunha,38,F,Valongo,Física,798.92,Sapiente,Roupas,Laranja,Eligendi esse eos ut eius.,M,94.67,49.72,22,19,365499.61,2020-10
78,1,143,970,265,72,584.68,2018-08-16 22:59:04,Online,William Pinheiro,18,M,Figueira da Foz,Física,562.35,Laboriosam,Roupas,Laranja,Quo nesciunt eligendi ad ducimus.,XS,60.37,21.52,274,13,419850.45,2018-08
79,1,307,211,16,95,702.79,2017-04-23 20:45:53,Online,Alícia-Bruna Loureiro,41,F,Alvito,Física,240.01,Deleniti,Calçado,Azul,A consectetur exercitationem itaque nesciunt.,39,22.15,18.49,471,11,396918.26,2017-04
80,4,988,630,171,97,507.18,2024-07-15 04:51:57,Online,Emanuel Carneiro,39,M,Vila Nova de Gaia,Online,872.16,Quibusdam,Calçado,Cinzento,Officiis quasi alias.,37,40.99,37.33,170,19,325710.97,2024-07
81,4,105,21,194,29,149.58,2023-12-13 19:29:21,Física,Raquel-Renata Sá,70,M,Aljezur,Física,789.7,Unde,Calçado,Rosa,Eveniet sequi id magni id quaerat natus.,38,67.79,26.47,384,20,589430.76,2023-12
82,2,165,446,177,41,38.88,2015-03-13 21:32:09,Física,Sérgio Pereira,22,F,Vila Real de Santo António,Física,321.62,Ipsam,Calçado,Rosa,Numquam voluptates itaque voluptates beatae aliquam aliquam.,37,34.47,48.27,294,26,837507.84,2015-03
83,3,666,883,262,72,666.36,2019-05-07 23:55:14,Física,Alice de Amaral,22,F,Castro Verde,Física,646.47,Earum,Roupas,Cinzento,Possimus nulla sint esse vero reprehenderit.,S,46.55,36.73,60,13,337597.71,2019-05
84,5,81,48,268,53,163.58,2024-07-17 03:20:27,Física,Nelson do Miranda,41,F,Funchal,Física,295.9,Ad,Calçado,Rosa,Rem dolorum quidem.,38,56.58,17.05,168,8,131516.52000000002,2024-07
85,3,685,771,401,17,510.39,2023-10-28 21:55:42,Online,Camila Pires-Guerreiro,22,F,Vila Franca do Campo,Física,198.1,Possimus,Calçado,Rosa,At quaerat quia soluta vitae fuga explicabo.,35,53.83,15.99,112,21,584548.51,2023-10
86,5,222,441,252,44,616.57,2020-07-15 02:54:41,Online,Alícia Macedo,59,M,Melgaço,Online,274.56,Maxime,Calçado,Branco,Eos eum dolorum dolores.,35,32.67,11.56,254,23,715561.27,2020-07
87,1,323,577,135,13,458.33,2019-04-11 00:41:11,Física,Duarte Brito-Pinto,69,M,Angra do Heroísmo,Online,428.32,Et,Roupas,Roxo,Deserunt quidem perferendis deleniti sapiente quia neque.,L,46.67,31.97,681,19,366595.23000000004,2019-04
88,5,80,160,373,64,390.86,2020-10-04 09:31:58,Online,Erica Nogueira,70,M,Ponte de Sor,Online,830.07,Temporibus,Roupas,Preto,At accusamus ipsa.,L,63.68,16.89,10,16,456655.08,2020-10
89,4,653,513,83,39,193.73,2022-10-27 16:15:25,Física,Wilson Jesus,47,F,Barrancos,Física,288.91,Et,Calçado,Cinzento,Maxime voluptatum exercitationem suscipit ipsum.,37,36.98,27.49,58,18,521020.82,2022-10
90,3,122,971,233,36,260.59,2024-01-23 06:53:20,Online,Maria Neto,65,F,Vila do Porto,Online,826.34,Consequuntur,Calçado,Roxo,Explicabo dignissimos veritatis.,36,78.92,47.92,150,20,459966.6,2024-01
91,3,451,926,85,44,727.03,2022-03-12 20:18:18,Física,Bruna da Sousa,32,M,Póvoa de Varzim,Online,158.64,Aperiam,Calçado,Cinzento,Nostrum nesciunt nisi accusamus.,39,71.74,32.06,216,23,764954.85,2022-03
92,1,829,175,440,18,679.62,2024-07-24 04:51:39,Física,Anita Pinheiro,48,F,Arruda dos Vinhos,Online,551.8,Accusantium,Calçado,Azul,Facere aspernatur voluptas error.,35,53.51,41.5,100,18,506253.68,2024-07
93,1,881,129,120,33,76.9,2022-09-19 11:20:14,Online,Naiara Branco,31,M,Alvito,Online,574.99,Iusto,Calçado,Vermelho,Assumenda quasi voluptas mollitia corrupti.,44,36.32,30.86,100,30,779957.54,2022-09
94,3,30,737,203,9,145.23,2023-04-25 11:10:22,Online,Lúcia Rocha,58,M,Funchal,Física,826.17,Quasi,Roupas,Laranja,Laudantium error non.,XS,29.07,15.68,229,20,426270.91,2023-04
95,5,266,219,248,58,155.72,2019-11-11 19:58:55,Online,Lúcia Ribeiro,34,F,Odemira,Física,730.54,Quaerat,Roupas,Rosa,Quis sit facere magni sapiente accusantium.,L,99.23,32.9,293,16,399160.12,2019-11
96,1,217,63,442,71,271.45,2022-03-27 07:03:35,Online,Erika do Borges,20,F,Vila Franca do Campo,Online,812.69,Commodi,Roupas,Laranja,Iste soluta aut culpa eum quasi quo.,M,68.77,36.97,8,23,491291.98000000004,2022-03
97,1,721,404,45,56,297.27,2024-03-11 15:19:52,Física,Raquel-Yasmin Sousa,40,M,São Brás de Alportel,Online,658.44,Dolor,Roupas,Branco,Ab nostrum maiores optio.,S,96.88,35.89,296,12,280587.16000000003,2024-03
98,4,396,67,217,83,78.85,2017-10-04 16:55:16,Online,Petra do Pinto,41,M,Lajes do Pico,Online,583.32,Dolorum,Roupas,Amarelo,Reiciendis at odit sed veritatis.,XXL,82.13,38.63,21,30,714643.39,2017-10
99,2,469,729,447,61,909.75,2021-01-26 22:46:30,Online,Clara-Nair Cardoso,35,F,Rio Maior,Online,781.77,Quis,Calçado,Preto,Tempora maxime alias laborum itaque non consectetur.,45,25.0,22.72,343,16,511151.86,2021-01
100,1,333,938,314,92,632.97,2023-01-17 07:13:47,Física,Isabel Sá,41,M,Lagos,Online,518.94,Reiciendis,Calçado,Preto,Totam beatae consequuntur nisi ducimus tempore beatae soluta.,37,26.51,24.11,31,24,418035.06,2023-01
101,5,537,704,404,8,465.79,2017-01-25 03:58:00,Online,Vera Fernandes,21,F,Faro,Física,820.24,Eius,Calçado,Branco,Corrupti quae repudiandae quo velit.,41,36.51,16.3,316,21,569296.83,2017-01
102,2,892,541,77,26,21.7,2019-11-11 23:07:03,Online,Benjamim Nunes,34,M,Odivelas,Física,189.56,Molestias,Calçado,Verde,Culpa consequatur sequi quasi.,40,37.22,20.27,2,18,385394.11,2019-11
103,5,795,964,10,86,447.75,2022-05-21 05:57:29,Física,Valentim Rocha,53,F,Alenquer,Online,782.36,Quidem,Roupas,Azul,Error unde numquam fuga provident.,S,26.88,33.74,201,18,474058.57,2022-05
104,1,499,63,445,98,260.13,2023-08-21 04:06:48,Física,Erika do Borges,20,F,Vila Franca do Campo,Online,812.69,Reprehenderit,Roupas,Azul,Repellat dolores eveniet excepturi deleniti eveniet.,L,58.7,16.34,8,23,491291.98000000004,2023-08
105,5,494,568,151,94,677.21,2014-06-14 20:21:53,Online,Ivo Correia,27,M,Ílhavo,Online,339.76,Necessitatibus,Calçado,Azul,Omnis explicabo libero itaque beatae dignissimos dolor.,36,87.69,28.51,41,19,450930.32,2014-06
106,1,62,639,406,53,980.66,2022-09-01 01:49:31,Online,Patrícia-Carlota Freitas,25,F,Azambuja,Física,558.35,Laudantium,Roupas,Preto,Esse mollitia distinctio hic.,XL,65.97,46.61,651,18,447407.38999999996,2022-09
107,3,213,338,464,87,822.6,2021-10-30 16:43:57,Online,Lourenço Castro,25,F,Mondim de Basto,Online,910.57,Ad,Calçado,Azul,Rem laborum eius facilis.,43,41.03,38.73,89,25,720847.9,2021-10
108,3,486,302,115,28,279.98,2021-04-26 02:13:58,Online,Melissa Ribeiro,63,M,Póvoa de Lanhoso,Física,221.55,Provident,Calçado,Preto,Ipsam deleniti libero neque sequi quasi.,45,51.9,22.06,275,24,523664.42,2021-04
109,1,509,82,105,1,172.85,2023-03-04 08:58:05,Física,Alexandre Machado,42,M,Oliveira do Hospital,Online,105.63,Adipisci,Roupas,Verde,Iste ab vel vero qui veniam unde optio.,XL,67.18,46.5,53,25,605670.14,2023-03
110,5,345,470,478,52,463.8,2018-06-22 14:37:09,Online,Victória Sá,45,F,Santa Cruz da Graciosa,Física,641.75,Nulla,Calçado,Vermelho,Sequi expedita hic ad.,43,70.49,27.17,129,21,600596.3200000001,2018-06
111,2,990,417,392,15,223.43,2022-05-18 22:04:37,Online,Constança Batista-Esteves,68,F,Torres Vedras,Física,808.43,Consectetur,Calçado,Azul,Amet accusantium doloremque doloribus recusandae nulla iusto.,45,66.44,30.57,24,25,437705.51,2022-05
112,2,525,942,340,86,430.76,2019-10-30 12:10:12,Online,Dinis Reis,70,F,Machico,Física,191.14,Ullam,Calçado,Verde,Minus commodi unde et magni asperiores a.,40,98.25,24.59,136,25,596630.64,2019-10
113,1,278,284,493,17,583.36,2017-01-13 12:10:42,Online,Letícia Assunção,30,M,Redondo,Física,189.17,In,Roupas,Verde,Deserunt et ut amet eius.,M,90.79,49.93,36,24,657168.44,2017-01
114,2,906,72,260,48,122.63,2021-01-13 15:04:09,Online,Mateus Amaral,44,M,Portel,Online,766.88,Doloribus,Calçado,Vermelho,Fugit possimus rerum quasi harum rem itaque.,36,60.56,46.08,46,29,820556.11,2021-01
115,4,146,981,268,57,484.83,2018-07-14 06:10:42,Física,Tomé Mota,19,F,Valença,Física,341.48,Eum,Roupas,Amarelo,Ea tenetur alias soluta cumque quidem aliquam.,M,86.45,28.4,232,18,419205.81999999995,2018-07
